pH,Elevation,SlopeDeg,TWI,ValleyDepth,ChannelNetworkBaseLevel,TRI,ATR,PWQ,Precipitation,Temperature
6,308,18.907614,5.47,18.22,266.85,19.17,35.98,335,1292,9.55
7,149,3.437748,7.48,4.83,145.75,3.27,35.98,335,1292,9.55
6,243,44.690724,4.46,6.49,154.8,46.77,36.55,320,1232,10.52
7,68,11.45916,5.94,5.92,53.42,11.81,36.55,320,1232,10.52
5,59,8.59437,7,12.08,46.59,9.22,36.45,315,1212,10.97
5,104,13.178034,5.89,0.55,84.64,11.32,36.45,315,1212,10.97
6,62,2.291832,7.87,6.58,59.06,2.87,36.45,315,1212,10.97
5,53,1.718874,7.83,2.62,50.12,1.87,36.45,315,1212,10.97
6,71,5.72958,6.56,0,62.35,5.72,36.32,317,1228,11
5,62,4.583664,7.7,8.13,56,4.65,36.32,317,1228,11
5,77,8.59437,7.02,11.98,75.62,9.01,36.32,317,1228,11
5,110,10.313244,6.53,9.96,101.76,11.41,36.32,317,1228,11
6,105,2.86479,8.72,12,105,3.84,38.11,311,1148,9.4
6,106,2.291832,7.7,0,103,2.12,38.11,311,1148,9.4
6,100,0.572958,9.8,3.83,101,2.55,38.11,311,1148,9.4
6,125,4.583664,6.89,0,119.11,4.2,38.11,311,1148,9.4
6,152,4.583664,6.92,8.09,145.14,4.36,36.62,327,1264,10.27
6,166,0.572958,9.99,2.4,165.47,2.41,36.62,327,1264,10.27
5,161,5.72958,7.05,0.83,151.69,4.72,36.62,327,1264,10.27
6,151,2.291832,8.32,2.47,150.68,2.92,36.62,327,1264,10.27
6,2,1.718874,8.83,2.13,0,2.05,37.88,295,1081,9.71
6,36,5.156622,7.45,3.93,14,5.88,37.88,295,1081,9.71
6,51,5.72958,7.8,14,46.73,5.87,37.88,295,1081,9.71
6,21,2.86479,7.27,0,15,2.83,37.69,301,1105,9.74
6,129,2.86479,8.17,4.51,129,3.54,35.61,306,1197,11.1
6,124,2.86479,8.25,2.33,123.26,3.7,35.6,306,1197,11.36
6,120,4.583664,7.72,11.37,120,7.38,35.6,306,1197,11.36
6,164,1.145916,8.4,0.81,119.07,1.58,35.6,306,1197,11.36
6,63,4.583664,7.12,0,54.35,3.57,36.32,317,1228,11.01
6,60,5.72958,6.78,1.09,48,5.1,35.92,310,1208,11
5,61,5.156622,7.48,5.13,56.74,6.28,36.32,317,1228,11.01
6,65,4.583664,7.01,0,59.95,3.84,36.32,317,1228,11.01
5,17,6.302538,7.56,9.3,11.84,7.1,36.45,315,1212,10.97
5,39,1.718874,7.94,3.91,8,6.31,36.45,315,1212,10.97
5,24,10.313244,6.67,8.09,7.06,11.05,36.45,315,1212,10.97
6,35,9.740286,6.6,3.76,15.47,16.58,36.45,315,1212,10.97
6,61,3.437748,7.86,3.45,59.7,2.74,35.87,313,1214,11.15
5,53,8.021412,7.34,1.27,27.98,11.22,35.61,306,1197,11.1
5,62,2.86479,8.15,0.52,58.64,4.16,35.61,306,1197,11.1
5,68,4.583664,7.12,0,63.37,3.77,35.61,306,1197,11.1
6,146,14.32395,6.05,20.86,115,16.99,39.42,294,1056,7.32
6,113,5.72958,7.37,24.14,116,6.4,39.83,284,1007,7.75
5,152,13.750992,6.62,36,142.8,17.59,39.42,294,1056,7.32
6,165,9.167328,7.46,12.36,157.9,12.36,39.42,294,1056,7.32
6,351,10.886202,6.68,5.29,293.91,13.84,38.07,292,1046,6.89
6,349,13.750992,6.91,23,324.63,16.87,38.07,292,1046,6.89
